ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;97.6;26;Pernambuco;9310;2016;49243;Total
Indicador  4.2.1.4;2;97.7;26;Pernambuco;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;26;Pernambuco;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.8;26;Pernambuco;9310;2017;49243;Total
Indicador  4.2.1.4;2;93.0;26;Pernambuco;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;26;Pernambuco;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;96.9;26;Pernambuco;9310;2018;49243;Total
Indicador  4.2.1.4;2;96.9;26;Pernambuco;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;98.5;26;Pernambuco;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.0;26;Pernambuco;9310;2019;49243;Total
Indicador  4.2.1.4;2;88.5;27;Alagoas;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;27;Alagoas;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;92.6;27;Alagoas;9310;2016;49243;Total
Indicador  4.2.1.4;2;93.9;27;Alagoas;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;27;Alagoas;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;94.6;27;Alagoas;9310;2017;49243;Total
Indicador  4.2.1.4;2;95.0;27;Alagoas;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;27;Alagoas;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;96.8;27;Alagoas;9310;2018;49243;Total
Indicador  4.2.1.4;2;95.8;27;Alagoas;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;27;Alagoas;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;96.8;27;Alagoas;9310;2019;49243;Total
Indicador  4.2.1.4;2;88.8;28;Sergipe;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;28;Sergipe;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;93.5;28;Sergipe;9310;2016;49243;Total
