ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_SEXO;DESC_SEXO;CODG_IDADE;DESC_IDADE
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2021;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2021;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.52;11;Rondônia;9502;2021;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;5.59;11;Rondônia;9502;2021;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;6.47;11;Rondônia;9502;2021;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;8.94;11;Rondônia;9502;2021;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;10.39;11;Rondônia;9502;2021;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;5.30;11;Rondônia;9502;2021;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;8.72;11;Rondônia;9502;2021;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;9.98;11;Rondônia;9502;2021;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;5.79;11;Rondônia;9502;2021;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;6.98;11;Rondônia;9502;2021;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;7.49;11;Rondônia;9502;2021;5;Mulheres;3302;60 anos ou mais
Indicador  16.1.1.3;45;1.39;11;Rondônia;9502;2022;4;Homens;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2022;4;Homens;1141;5 a 9 anos
Indicador  16.1.1.3;45;5.82;11;Rondônia;9502;2022;4;Homens;1142;10 a 14 anos
Indicador  16.1.1.3;45;50.71;11;Rondônia;9502;2022;4;Homens;1143;15 a 19 anos
Indicador  16.1.1.3;45;80.63;11;Rondônia;9502;2022;4;Homens;1144;20 a 24 anos
Indicador  16.1.1.3;45;108.41;11;Rondônia;9502;2022;4;Homens;1145;25 a 29 anos
Indicador  16.1.1.3;45;87.46;11;Rondônia;9502;2022;4;Homens;1146;30 a 34 anos
Indicador  16.1.1.3;45;105.46;11;Rondônia;9502;2022;4;Homens;1147;35 a 39 anos
Indicador  16.1.1.3;45;84.41;11;Rondônia;9502;2022;4;Homens;1148;40 a 44 anos
Indicador  16.1.1.3;45;72.07;11;Rondônia;9502;2022;4;Homens;1149;45 a 49 anos
Indicador  16.1.1.3;45;67.79;11;Rondônia;9502;2022;4;Homens;1150;50 a 54 anos
Indicador  16.1.1.3;45;34.32;11;Rondônia;9502;2022;4;Homens;1151;55 a 59 anos
Indicador  16.1.1.3;45;34.84;11;Rondônia;9502;2022;4;Homens;3302;60 anos ou mais
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2022;5;Mulheres;1140;0 a 4 anos
Indicador  16.1.1.3;45;0.00;11;Rondônia;9502;2022;5;Mulheres;1141;5 a 9 anos
Indicador  16.1.1.3;45;1.53;11;Rondônia;9502;2022;5;Mulheres;1142;10 a 14 anos
Indicador  16.1.1.3;45;17.14;11;Rondônia;9502;2022;5;Mulheres;1143;15 a 19 anos
Indicador  16.1.1.3;45;9.12;11;Rondônia;9502;2022;5;Mulheres;1144;20 a 24 anos
Indicador  16.1.1.3;45;5.11;11;Rondônia;9502;2022;5;Mulheres;1145;25 a 29 anos
Indicador  16.1.1.3;45;9.04;11;Rondônia;9502;2022;5;Mulheres;1146;30 a 34 anos
Indicador  16.1.1.3;45;7.90;11;Rondônia;9502;2022;5;Mulheres;1147;35 a 39 anos
Indicador  16.1.1.3;45;9.95;11;Rondônia;9502;2022;5;Mulheres;1148;40 a 44 anos
Indicador  16.1.1.3;45;11.35;11;Rondônia;9502;2022;5;Mulheres;1149;45 a 49 anos
Indicador  16.1.1.3;45;11.28;11;Rondônia;9502;2022;5;Mulheres;1150;50 a 54 anos
Indicador  16.1.1.3;45;6.75;11;Rondônia;9502;2022;5;Mulheres;1151;55 a 59 anos
Indicador  16.1.1.3;45;5.09;11;Rondônia;9502;2022;5;Mulheres;3302;60 anos ou mais
