ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_ETAPA_ENS;DESC_ETAPA_ENS
Indicador  4.c.1;1726;38.1;14;Roraima;9610;2013;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;61.4;14;Roraima;9610;2013;41125;Ensino médio
Indicador  4.c.1;1726;63.3;14;Roraima;9610;2014;41122;Educação infantil
Indicador  4.c.1;1726;82.6;14;Roraima;9610;2014;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;40.9;14;Roraima;9610;2014;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;61.9;14;Roraima;9610;2014;41125;Ensino médio
Indicador  4.c.1;1726;63.0;14;Roraima;9610;2015;41122;Educação infantil
Indicador  4.c.1;1726;80.3;14;Roraima;9610;2015;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;39.9;14;Roraima;9610;2015;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;60.3;14;Roraima;9610;2015;41125;Ensino médio
Indicador  4.c.1;1726;63.8;14;Roraima;9610;2016;41122;Educação infantil
Indicador  4.c.1;1726;78.9;14;Roraima;9610;2016;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;40.5;14;Roraima;9610;2016;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;59.2;14;Roraima;9610;2016;41125;Ensino médio
Indicador  4.c.1;1726;63.3;14;Roraima;9610;2017;41122;Educação infantil
Indicador  4.c.1;1726;80.3;14;Roraima;9610;2017;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;42.4;14;Roraima;9610;2017;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;57.6;14;Roraima;9610;2017;41125;Ensino médio
Indicador  4.c.1;1726;63.4;14;Roraima;9610;2018;41122;Educação infantil
Indicador  4.c.1;1726;80.0;14;Roraima;9610;2018;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;43.5;14;Roraima;9610;2018;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;59.1;14;Roraima;9610;2018;41125;Ensino médio
Indicador  4.c.1;1726;72.6;14;Roraima;9610;2019;41122;Educação infantil
Indicador  4.c.1;1726;89.3;14;Roraima;9610;2019;41123;Ensino fundamental - anos iniciais
Indicador  4.c.1;1726;48.9;14;Roraima;9610;2019;41124;Ensino fundamental - anos finais
Indicador  4.c.1;1726;64.4;14;Roraima;9610;2019;41125;Ensino médio
Indicador  4.c.1;1726;77.8;14;Roraima;9610;2020;41122;Educação infantil
